tmdb_id,title,release_year,runtime_minutes,genres,vote_average,vote_count,tmdb_url
10357,Volcano,1997,104,Science Fiction|Action|Drama|Thriller,5.924,1604,https://www.themoviedb.org/movie/10357
1062215,Afraid,2024,84,Horror|Science Fiction|Thriller,5.924,448,https://www.themoviedb.org/movie/1062215
673593,Mean Girls,2024,113,Comedy,5.924,661,https://www.themoviedb.org/movie/673593
328720,Ma che bella sorpresa,2015,91,Comedy,5.924,408,https://www.themoviedb.org/movie/328720
98566,Teenage Mutant Ninja Turtles,2014,101,Science Fiction|Action|Adventure|Comedy,5.924,7019,https://www.themoviedb.org/movie/98566
32856,Valentine's Day,2010,125,Comedy|Romance,5.924,3105,https://www.themoviedb.org/movie/32856
11062,City Hall,1996,111,Drama|Thriller,5.9,302,https://www.themoviedb.org/movie/11062
501395,True History of the Kelly Gang,2019,124,Crime|Drama|Western|Thriller,5.923,336,https://www.themoviedb.org/movie/501395
340676,Personal Shopper,2016,106,Drama|Mystery|Thriller,5.924,1275,https://www.themoviedb.org/movie/340676
10495,The Karate Kid Part III,1989,112,Action|Family|Drama|Adventure,5.9,1751,https://www.themoviedb.org/movie/10495
62764,Mirror Mirror,2012,106,Adventure|Comedy|Family|Fantasy,5.922,3230,https://www.themoviedb.org/movie/62764
52067,Cedar Rapids,2011,87,Comedy,5.922,447,https://www.themoviedb.org/movie/52067
11152,The Ruins,2008,91,Horror,5.922,1381,https://www.themoviedb.org/movie/11152
10366,Universal Soldier: The Return,1999,82,Action|Science Fiction,5.922,1305,https://www.themoviedb.org/movie/10366
550201,The Pool,2018,91,Thriller|Horror,5.921,354,https://www.themoviedb.org/movie/550201
151960,Planes,2013,91,Animation|Family|Adventure|Comedy,5.921,1766,https://www.themoviedb.org/movie/151960
9072,Little Man,2006,98,Comedy|Crime,5.9,1831,https://www.themoviedb.org/movie/9072
324542,Sleepless,2017,95,Action|Crime|Thriller,5.92,1294,https://www.themoviedb.org/movie/324542
297761,Suicide Squad,2016,122,Action|Adventure|Fantasy,5.92,21696,https://www.themoviedb.org/movie/297761
157099,Better Living Through Chemistry,2014,91,Drama|Comedy,5.919,308,https://www.themoviedb.org/movie/157099
602734,Spiral: From the Book of Saw,2021,93,Horror|Mystery,5.9,2180,https://www.themoviedb.org/movie/602734
64639,Straw Dogs,2011,110,Drama|Thriller,5.918,601,https://www.themoviedb.org/movie/64639
9923,Domino,2005,127,Action|Crime|Drama|Thriller,5.918,1250,https://www.themoviedb.org/movie/9923
800937,Senior Year,2022,114,Comedy,5.922,890,https://www.themoviedb.org/movie/800937
311667,Manhattan Night,2016,113,Drama|Mystery|Thriller,5.917,402,https://www.themoviedb.org/movie/311667
18823,Clash of the Titans,2010,106,Adventure|Fantasy|Action,5.917,6500,https://www.themoviedb.org/movie/18823
14648,Podium,2004,95,Comedy|Music,5.917,457,https://www.themoviedb.org/movie/14648
13668,Catch and Release,2006,111,Comedy|Drama|Romance,5.9,588,https://www.themoviedb.org/movie/13668
7548,The Libertine,2004,114,Drama|Romance,5.9,469,https://www.themoviedb.org/movie/7548
890771,The Black Demon,2023,101,Thriller|Horror,5.916,672,https://www.themoviedb.org/movie/890771
805320,Bird Box Barcelona,2023,112,Horror|Science Fiction|Thriller,5.916,776,https://www.themoviedb.org/movie/805320
423949,Unicorn Store,2017,92,Fantasy|Drama|Comedy,5.916,868,https://www.themoviedb.org/movie/423949
399019,The Beguiled,2017,93,Drama,5.9,2195,https://www.themoviedb.org/movie/399019
258193,Alien Abduction,2014,85,Horror|Science Fiction|Thriller,5.916,399,https://www.themoviedb.org/movie/258193
158907,Breathe In,2013,98,Drama,5.916,322,https://www.themoviedb.org/movie/158907
16558,Duplicity,2009,125,Romance|Comedy|Crime,5.916,835,https://www.themoviedb.org/movie/16558
9275,Death to Smoochy,2002,109,Comedy|Crime|Drama|Thriller,5.9,413,https://www.themoviedb.org/movie/9275
2103,Solaris,2002,99,Drama|Science Fiction|Mystery,5.918,1380,https://www.themoviedb.org/movie/2103
174675,The Machine,2013,92,Science Fiction|Thriller,5.915,835,https://www.themoviedb.org/movie/174675
74998,Seeking Justice,2011,105,Action|Drama|Thriller,5.917,1040,https://www.themoviedb.org/movie/74998
10708,Daddy Day Care,2003,92,Comedy|Family,5.9,2190,https://www.themoviedb.org/movie/10708
10030,Good Luck Chuck,2007,101,Comedy|Romance,5.915,1589,https://www.themoviedb.org/movie/10030
7091,Vampire's Kiss,1989,103,Comedy|Horror|Crime|Fantasy,5.915,462,https://www.themoviedb.org/movie/7091
1970,The Grudge,2004,92,Horror|Mystery|Thriller,5.915,3077,https://www.themoviedb.org/movie/1970
1043565,Mindcage,2022,97,Mystery|Thriller|Crime,5.914,395,https://www.themoviedb.org/movie/1043565
476764,The Front Runner,2018,113,Drama|History,5.9,370,https://www.themoviedb.org/movie/476764
258489,The Legend of Tarzan,2016,109,Fantasy|Action|Adventure,5.914,6365,https://www.themoviedb.org/movie/258489
617505,Hubie Halloween,2020,103,Comedy|Mystery|Horror,5.913,1721,https://www.themoviedb.org/movie/617505
505707,Waiting for the Barbarians,2019,114,Drama|History,5.913,397,https://www.themoviedb.org/movie/505707
513409,Earthquake Bird,2019,107,Drama|Mystery|Romance|Thriller,5.912,454,https://www.themoviedb.org/movie/513409
375588,Robin Hood,2018,116,Adventure|Action|Thriller|Fantasy,5.912,3066,https://www.themoviedb.org/movie/375588
12517,Calvaire,2005,88,Horror,5.912,339,https://www.themoviedb.org/movie/12517
9907,Barnyard,2006,90,Animation|Comedy|Family,5.912,1147,https://www.themoviedb.org/movie/9907
9895,Man of the Year,2006,115,Comedy|Romance|Thriller,5.912,479,https://www.themoviedb.org/movie/9895
2022,Mr. Deeds,2002,96,Comedy|Romance,5.913,2424,https://www.themoviedb.org/movie/2022
346672,Underworld: Blood Wars,2016,91,Fantasy|Action|Thriller|Science Fiction|Horror,5.911,3822,https://www.themoviedb.org/movie/346672
146223,Closed Circuit,2013,96,Mystery|Drama|Crime|Thriller,5.911,481,https://www.themoviedb.org/movie/146223
