name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
A Real Pain,a-real-pain,913258,2024,,0,7,0,1,2025-01-19
Batman Begins,batman-begins,51784,2005,,0,6,1,1,2025-01-18
Thief,thief,45224,1981,,0,7,1,0,2025-01-18
Den of Thieves 2: Pantera,den-of-thieves-2-pantera,531894,2025,,0,8,1,1,2025-01-17
The Accountant,the-accountant-2016,229981,2016,,0,6,1,1,2025-01-17
Companion,companion-2025,977172,2025,,0,4,0,1,2025-01-15
The Brutalist,the-brutalist,478428,2024,,0,9,1,1,2025-01-14
Den of Thieves,den-of-thieves,381754,2018,,0,7,1,1,2025-01-11
Beau Is Afraid,beau-is-afraid,715856,2023,,0,8,1,1,2025-01-09
Unhinged,unhinged-2020,552121,2020,,0,4,0,1,2025-01-08
Se7en,se7en,51345,1995,,1,9,1,1,2025-01-07
Zodiac,zodiac,50659,2007,,1,9,1,1,2025-01-05
Nosferatu,nosferatu-2024,359505,2024,,0,7,0,1,2025-01-04
Lone Star,lone-star-1996,35081,1996,,0,8,1,0,2025-01-03
Creep,creep-2014,174928,2014,,1,8,1,1,2025-01-02
The Killer,the-killer-2023,717654,2023,,1,8,1,1,2025-01-02
Sicario,sicario-2015,197628,2015,,1,10,1,0,2025-01-02
End of Watch,end-of-watch,63462,2012,,1,8,1,0,2024-12-31
Tenet,tenet,506032,2020,,1,10,1,1,2024-12-31
First Reformed,first-reformed,390610,2017,,0,9,1,1,2024-12-29
A Complete Unknown,a-complete-unknown,586583,2024,,0,8,0,1,2024-12-26
Juror #2,juror-2,997722,2024,,0,8,1,0,2024-12-21
Carry-On,carry-on-2024,905876,2024,,0,6,0,1,2024-12-18
Matchstick Men,matchstick-men,48082,2003,,0,8,1,1,2024-12-18
GoodFellas,goodfellas,51383,1990,,1,9,1,0,2024-12-11
Miami Vice,miami-vice,51968,2006,,0,8,1,1,2024-12-06
No Country for Old Men,no-country-for-old-men,48140,2007,,1,9,1,1,2024-11-24
The Silence of the Lambs,the-silence-of-the-lambs,51782,1991,,1,10,1,0,2024-11-22
Tenet,tenet,506032,2020,,1,9,1,1,2024-11-15
Gone Girl,gone-girl,149857,2014,,1,10,1,0,2024-11-13
My Wife Is Retarded,my-wife-is-retarded,569992,2007,,0,,0,1,2024-11-13
The Penguin,the-penguin-2024,1247272,2024,,0,,1,1,2024-11-13
Tenet,tenet,506032,2020,,1,9,1,1,2024-11-10
Boogie Nights,boogie-nights,49007,1997,,1,9,1,1,2024-11-10
(500) Days of Summer,500-days-of-summer,39350,2009,,1,8,1,0,2024-11-08
Saw II,saw-ii,51841,2005,,0,5,0,1,2024-11-04
Castaway on the Moon,castaway-on-the-moon,40349,2009,,0,8,1,0,2024-11-04
Saw,saw,51875,2004,,0,7,0,1,2024-10-31
The Mongolian Conspiracy,the-mongolian-conspiracy,483149,2019,,0,2,0,0,2024-10-30
Memories of Murder,memories-of-murder,45312,2003,,0,9,1,1,2024-10-28
Grand Theft Hamlet,grand-theft-hamlet,1118050,2024,,0,7,0,1,2024-10-26
Brick,brick,47322,2005,,1,8,1,1,2024-10-25
The Order,the-order-2024,975393,2024,,0,7,0,1,2024-10-24
Pulse,pulse-2001,34618,2001,,0,8,1,1,2024-10-24
Paprika,paprika-2006,49023,2006,,0,9,1,0,2024-10-23
Double Indemnity,double-indemnity,51173,1944,,0,7,0,0,2024-10-23
Se7en,se7en,51345,1995,,1,9,1,0,2024-10-22
Gladiator,gladiator-2000,51952,2000,,0,8,1,0,2024-10-22
Suspiria,suspiria,44900,1977,,0,8,0,1,2024-10-21
No Other Land,no-other-land,1115874,2024,,0,8,1,0,2024-10-21
Smile 2,smile-2-2024,992360,2024,,0,6,0,1,2024-10-19
Rashomon,rashomon,51570,1950,,0,7,0,0,2024-10-14
Bronson,bronson,40276,2008,,0,7,0,1,2024-10-13
The Black Phone,the-black-phone,677571,2021,,0,6,1,0,2024-10-11
Red Rocket,red-rocket-2021,683620,2021,,0,8,1,1,2024-10-10
I See You,i-see-you-2019,453833,2019,,0,5,1,1,2024-10-09
Candyman,candyman,47071,1992,,0,6,0,1,2024-10-07
Upgrade,upgrade,430633,2018,,0,6,0,1,2024-10-05
Tim Dillon: This Is Your Country,tim-dillon-this-is-your-country,1248074,2024,,0,,1,0,2024-10-02
The Night Comes for Us,the-night-comes-for-us,382225,2018,,0,7,1,1,2024-09-30
Megalopolis,megalopolis-2024,520328,2024,,0,8,1,1,2024-09-29
The Substance,the-substance,838140,2024,,0,8,1,1,2024-09-28
Alien,alien,51714,1979,,0,8,1,0,2024-09-26
Dinner in America,dinner-in-america,579052,2020,,0,5,0,0,2024-09-25
Magnolia,magnolia,51728,1999,,0,9,1,1,2024-09-24
Women on the Verge of a Nervous Breakdown,women-on-the-verge-of-a-nervous-breakdown,49468,1988,,0,8,0,0,2024-09-23
The Thin Man,the-thin-man,49690,1934,,0,7,0,0,2024-09-23
Thin Watermelon,thin-watermelon,956578,2010,,0,6,1,1,2024-09-19
Night Nurse,night-nurse,14418,1931,,0,7,0,0,2024-09-16
Chinatown,chinatown,51323,1974,,1,10,1,1,2024-09-15
Insomnia,insomnia,35187,1997,,0,8,1,1,2024-09-13
Serpico,serpico,47403,1973,,0,8,0,0,2024-09-11
Pain & Gain,pain-gain,103559,2013,,0,7,1,1,2024-09-11
Chime,chime,1103563,2024,,0,7,1,1,2024-09-09
The Public Enemy,the-public-enemy,40833,1931,,0,6,0,1,2024-09-08
Rebel Ridge,rebel-ridge,571791,2024,,0,8,1,1,2024-09-07
VGHS: The Movie,vghs-the-movie,503023,2012,,1,10,1,1,2024-09-06
Once Upon a Time... in Hollywood,once-upon-a-time-in-hollywood,397859,2019,,1,10,1,0,2024-08-29
Thelma,thelma-2024,948851,2024,,0,8,0,0,2024-08-23
Trap,trap-2024,931164,2024,,0,7,0,0,2024-08-18
The Daytrippers,the-daytrippers,15818,1996,,0,8,1,0,2024-08-11
Waiting...,waiting,47985,2005,,0,3,0,1,2024-08-10
Shaft,shaft,51624,1971,,0,6,1,1,2024-08-04
Dìdi (弟弟),didi-2024,1045115,2024,,0,7,0,0,2024-08-03
Shot Caller,shot-caller,269189,2017,,0,7,0,1,2024-08-01
Beverly Hills Cop: Axel F,beverly-hills-cop-axel-f,205080,2024,,0,5,0,0,2024-08-01
Deadpool & Wolverine,deadpool-wolverine,462870,2024,,0,6,0,0,2024-07-27
Longlegs,longlegs,1110059,2024,,0,8,1,1,2024-07-14
Prescription: Murder,prescription-murder,438854,1968,,0,8,0,0,2024-07-12
Pig,pig-2021,561763,2021,,0,8,1,1,2024-07-09
MaXXXine,maxxxine,922858,2024,,0,4,0,1,2024-07-06
Sherlock Holmes,sherlock-holmes-2009,46144,2009,,0,7,0,0,2024-07-05
The Killing of a Sacred Deer,the-killing-of-a-sacred-deer,333310,2017,,0,7,0,1,2024-07-03
X,x-2022,680358,2022,,0,4,0,1,2024-07-02
Kinds of Kindness,kinds-of-kindness,928261,2024,,0,5,0,0,2024-06-29
The Bikeriders,the-bikeriders,908327,2023,,0,8,1,1,2024-06-23
Rear Window,rear-window,51552,1954,,0,8,0,0,2024-06-21
Don Jon,don-jon,106177,2013,,0,7,0,1,2024-06-19
Possibly in Michigan,possibly-in-michigan,261231,1983,,0,,0,0,2024-06-19
Bad Lieutenant,bad-lieutenant,44759,1992,,0,10,1,1,2024-06-18
Do the Right Thing,do-the-right-thing,51228,1989,,0,9,1,1,2024-06-17
Mean Streets,mean-streets,51850,1973,,0,7,0,1,2024-06-16
American History X,american-history-x,51977,1998,,0,7,0,0,2024-06-06
For a Few Dollars More,for-a-few-dollars-more,51215,1965,,0,8,1,1,2024-06-06
Nikita,nikita,47271,1990,,0,6,0,1,2024-06-05
A Fistful of Dollars,a-fistful-of-dollars,51698,1964,,0,8,1,1,2024-06-03
Baby Reindeer,baby-reindeer,1156611,2024,,0,8,0,0,2024-05-31
Vertigo,vertigo,51669,1958,,0,8,1,0,2024-05-31
Hit Man,hit-man-2023,877046,2023,,0,8,0,1,2024-05-29
The Last Stop in Yuma County,the-last-stop-in-yuma-county,944445,2023,,0,7,0,0,2024-05-27
"O Brother, Where Art Thou?",o-brother-where-art-thou,51917,2000,,0,8,0,0,2024-05-27
Adventureland,adventureland,41477,2009,,0,8,1,1,2024-05-26
Lord of War,lord-of-war,50769,2005,,0,6,0,1,2024-05-25
Furiosa: A Mad Max Saga,furiosa-a-mad-max-saga,705221,2024,,0,9,1,1,2024-05-23
A Scanner Darkly,a-scanner-darkly,49710,2006,,0,8,1,1,2024-05-23
Mad Max: Fury Road,mad-max-fury-road,62780,2015,,0,10,1,0,2024-05-22
Dawn of the Planet of the Apes,dawn-of-the-planet-of-the-apes,94394,2014,,1,8,0,0,2024-05-19
The Fall Guy,the-fall-guy-2024,667550,2024,,0,5,0,1,2024-05-13
Kingdom of the Planet of the Apes,kingdom-of-the-planet-of-the-apes,578774,2024,,0,7,0,1,2024-05-10
Challengers,challengers,842301,2024,,0,7,0,0,2024-05-07
Civil War,civil-war-2024,834656,2024,,0,8,0,0,2024-05-07
Manhunter,manhunter,45288,1986,,0,7,0,0,2024-05-07
Wild Things,wild-things,51506,1998,,0,8,1,1,2024-05-03
Miller's Girl,millers-girl,925306,2024,,0,1,0,1,2024-05-02
Inside Out 2,inside-out-2-2024,921578,2024,,0,,0,1,2024-04-30
Killer Joe,killer-joe,59767,2011,,0,8,0,1,2024-04-30
The Maltese Falcon,the-maltese-falcon-1941,51200,1941,,0,6,0,0,2024-04-29
Chinatown,chinatown,51323,1974,,1,10,1,0,2024-04-28
Ghost Dog: The Way of the Samurai,ghost-dog-the-way-of-the-samurai,49124,1999,,0,8,1,0,2024-04-27
28 Days Later,28-days-later,51881,2002,,0,7,0,0,2024-04-26
Possessor,possessor,368540,2020,,0,8,1,1,2024-04-24
Late Night with the Devil,late-night-with-the-devil,843415,2023,,0,9,1,1,2024-04-21
Love Lies Bleeding,love-lies-bleeding-2024,853011,2024,,0,8,1,1,2024-04-20
Moonlight,moonlight-2016,312205,2016,,0,9,0,0,2024-04-19
We Grown Now,we-grown-now,1048872,2023,,0,5,0,1,2024-04-18
A Serious Man,a-serious-man,44466,2009,,0,6,0,0,2024-04-17
Swingers,swingers,46433,1996,,0,8,1,1,2024-04-15
I Saw the TV Glow,i-saw-the-tv-glow,772230,2024,,0,7,0,0,2024-04-14
