name,slug,id,release,runtime,rewatched,rating,liked,reviewed,date
Braindead,braindead-1992,51389,1992,,0,10,1,1,2023-02-18
Beau Travail,beau-travail,42942,1999,,0,8,1,1,2023-01-31
Lupin the Third: The Fuma Conspiracy,lupin-the-third-the-fuma-conspiracy,15203,1987,,0,7,1,1,2023-01-30
The Favourite,the-favourite,310705,2018,,0,10,1,1,2023-01-24
The Menu,the-menu-2022,521323,2022,,0,7,0,1,2023-01-10
"Synecdoche, New York",synecdoche-new-york,49039,2008,,0,,1,1,2023-01-09
Mary and Max,mary-and-max,36917,2009,,0,9,1,1,2023-01-08
Videodrome,videodrome,51315,1983,,0,10,1,1,2023-01-07
Shallow Grave,shallow-grave,46729,1994,,0,7,1,1,2023-01-07
Triangle of Sadness,triangle-of-sadness,427970,2022,,0,7,1,1,2023-01-05
House,house,35925,1977,,0,,1,1,2023-01-04
Scanners,scanners,47062,1981,,0,6,1,1,2023-01-03
TÁR,tar-2022,734096,2022,,0,10,1,1,2023-01-01
My Own Private Idaho,my-own-private-idaho,51634,1991,,1,10,1,1,2022-12-31
Bones and All,bones-and-all,709299,2022,,0,6,0,1,2022-12-30
The Fabelmans,the-fabelmans,721288,2022,,0,10,1,1,2022-12-26
Glass Onion,glass-onion,586723,2022,,0,6,0,1,2022-12-24
Guillermo del Toro's Pinocchio,guillermo-del-toros-pinocchio,484263,2022,,0,,1,1,2022-12-23
The Banshees of Inisherin,the-banshees-of-inisherin,598882,2022,,0,8,1,1,2022-12-19
Crash,crash,51268,1996,,0,8,1,1,2022-12-11
Phantom Thread,phantom-thread,335384,2017,,0,9,1,1,2022-11-30
The Fly,the-fly-1986,47171,1986,,0,9,1,1,2022-11-26
Eating Raoul,eating-raoul,33258,1982,,0,3,0,1,2022-11-24
Timecode,timecode,28071,2000,,0,,1,1,2022-10-19
Persona,persona,51355,1966,,0,10,1,1,2022-10-13
Law of Desire,law-of-desire,49521,1987,,0,8,1,1,2022-09-25
Election,election,47146,1999,,1,,1,1,2022-09-20
Female Trouble,female-trouble,43216,1974,,0,,1,1,2022-09-19
Drop Dead Gorgeous,drop-dead-gorgeous,46179,1999,,0,6,0,1,2022-09-18
Hanna,hanna,15225,2011,,0,7,1,1,2022-09-09
A Woman Under the Influence,a-woman-under-the-influence,32502,1974,,0,10,1,1,2022-08-29
The Watermelon Woman,the-watermelon-woman,20703,1996,,0,10,1,1,2022-08-27
Nope,nope,682547,2022,,0,9,1,1,2022-08-09
M,m,51320,1931,,0,7,1,1,2022-07-25
Raw,raw-2016,327974,2016,,0,8,1,1,2022-07-13
Thor: Love and Thunder,thor-love-and-thunder,543002,2022,,0,3,0,1,2022-07-10
Origin: Spirits of the Past,origin-spirits-of-the-past,42694,2006,,0,6,1,1,2022-07-09
Kajillionaire,kajillionaire,470369,2020,,1,10,1,1,2022-06-23
Bottle Rocket,bottle-rocket-1996,43680,1996,,0,8,1,1,2022-06-17
The Unbearable Weight of Massive Talent,the-unbearable-weight-of-massive-talent,574385,2022,,0,6,1,1,2022-06-15
Everything Everywhere All at Once,everything-everywhere-all-at-once,474474,2022,,0,10,1,1,2022-06-12
Turning Red,turning-red,438727,2022,,0,6,1,1,2022-03-13
The Batman,the-batman,348914,2022,,0,8,1,1,2022-03-11
Kids in the Hall: Brain Candy,kids-in-the-hall-brain-candy,40369,1996,,0,8,1,1,2022-02-19
